"species"	"cap_shape"	"cap_surface"	"cap_color"	"bruises"	"odor"	"gill_attachment"	"gill_spacing"	"gill_size"	"gill_color"	"stalk_shape"	"stalk_root"	"stalk_surface"	"stalk_color"	"veil_color"	"ring_number"	"ring_type"	"spore_print_color"	"population"	"habitat"
"2447"	"nosebaffle"	"convex"	"fibrous"	"brown"	"yes"	"none"	"free"	"close"	"broad"	"white"	"tapering"	"bulbous"	"smooth"	"green"	"white"	"one"	"pendant"	"black"	"several"	"wood"
"2448"	"solitarius"	"flat"	"fibrous"	"brown"	"yes"	"none"	"free"	"close"	"broad"	"pink"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"solitary"	"wood"
"2449"	"nosebaffle"	"flat"	"fibrous"	"brown"	"yes"	"none"	"free"	"close"	"broad"	"pink"	"tapering"	"bulbous"	"smooth"	"green"	"white"	"one"	"pendant"	"black"	"several"	"wood"
"2450"	"nosebaffle"	"flat"	"fibrous"	"gray"	"yes"	"none"	"free"	"close"	"broad"	"brown"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"solitary"	"wood"
"2451"	"nosebaffle"	"flat"	"fibrous"	"gray"	"yes"	"none"	"free"	"close"	"broad"	"pink"	"tapering"	"bulbous"	"smooth"	"green"	"white"	"one"	"pendant"	"brown"	"solitary"	"wood"
"2452"	"solitarius"	"convex"	"smooth"	"gray"	"yes"	"none"	"free"	"close"	"broad"	"white"	"tapering"	"bulbous"	"smooth"	"green"	"white"	"one"	"pendant"	"brown"	"solitary"	"wood"
"2453"	"grassia"	"convex"	"fibrous"	"gray"	"no"	"none"	"free"	"crowded"	"broad"	"black"	"tapering"	"equal"	"smooth"	"purple"	"white"	"one"	"evanescent"	"brown"	"abundant"	"grasses"
"2454"	"nosebaffle"	"convex"	"smooth"	"gray"	"yes"	"none"	"free"	"close"	"broad"	"brown"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"solitary"	"wood"
"2455"	"solitarius"	"convex"	"fibrous"	"red"	"yes"	"none"	"free"	"close"	"broad"	"pink"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"solitary"	"wood"
"2456"	"nosebaffle"	"flat"	"fibrous"	"brown"	"yes"	"none"	"free"	"close"	"broad"	"pink"	"tapering"	"bulbous"	"smooth"	"green"	"white"	"one"	"pendant"	"black"	"several"	"wood"
"2457"	"solitarius"	"convex"	"smooth"	"red"	"yes"	"none"	"free"	"close"	"broad"	"brown"	"tapering"	"bulbous"	"smooth"	"gray"	"white"	"one"	"pendant"	"brown"	"solitary"	"wood"
"2458"	"nosebaffle"	"convex"	"fibrous"	"gray"	"yes"	"none"	"free"	"close"	"broad"	"pink"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"several"	"wood"
"2459"	"solitarius"	"convex"	"fibrous"	"brown"	"yes"	"none"	"free"	"close"	"broad"	"pink"	"tapering"	"bulbous"	"smooth"	"gray"	"white"	"one"	"pendant"	"black"	"solitary"	"wood"
"2460"	"graystalk"	"convex"	"smooth"	"red"	"yes"	"none"	"free"	"close"	"broad"	"white"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"several"	"wood"
"2461"	"nosebaffle"	"convex"	"fibrous"	"brown"	"yes"	"none"	"free"	"close"	"broad"	"white"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"several"	"wood"
"2462"	"nosebaffle"	"flat"	"fibrous"	"gray"	"yes"	"none"	"free"	"close"	"broad"	"pink"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"solitary"	"wood"
"2463"	"nosebaffle"	"convex"	"smooth"	"gray"	"yes"	"none"	"free"	"close"	"broad"	"brown"	"tapering"	"bulbous"	"smooth"	"gray"	"white"	"one"	"pendant"	"black"	"solitary"	"wood"
"2464"	"graystalk"	"convex"	"smooth"	"gray"	"yes"	"none"	"free"	"close"	"broad"	"purple"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"several"	"wood"
"2465"	"solitarius"	"flat"	"fibrous"	"brown"	"yes"	"none"	"free"	"close"	"broad"	"purple"	"tapering"	"bulbous"	"smooth"	"green"	"white"	"one"	"pendant"	"brown"	"solitary"	"wood"
"2466"	"nosebaffle"	"convex"	"fibrous"	"gray"	"yes"	"none"	"free"	"close"	"broad"	"pink"	"tapering"	"bulbous"	"smooth"	"gray"	"white"	"one"	"pendant"	"black"	"several"	"wood"
"2467"	"solitarius"	"flat"	"fibrous"	"brown"	"yes"	"none"	"free"	"close"	"broad"	"pink"	"tapering"	"bulbous"	"smooth"	"gray"	"white"	"one"	"pendant"	"brown"	"several"	"wood"
"2468"	"nosebaffle"	"convex"	"smooth"	"red"	"yes"	"none"	"free"	"close"	"broad"	"pink"	"tapering"	"bulbous"	"smooth"	"green"	"white"	"one"	"pendant"	"black"	"several"	"wood"
"2469"	"solitarius"	"convex"	"fibrous"	"brown"	"yes"	"none"	"free"	"close"	"broad"	"purple"	"tapering"	"bulbous"	"smooth"	"green"	"white"	"one"	"pendant"	"black"	"solitary"	"wood"
"2470"	"graystalk"	"convex"	"smooth"	"gray"	"yes"	"none"	"free"	"close"	"broad"	"white"	"tapering"	"bulbous"	"smooth"	"gray"	"white"	"one"	"pendant"	"black"	"several"	"wood"
"2471"	"graystalk"	"flat"	"fibrous"	"gray"	"yes"	"none"	"free"	"close"	"broad"	"pink"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"several"	"wood"
"2472"	"graystalk"	"convex"	"fibrous"	"gray"	"yes"	"none"	"free"	"close"	"broad"	"pink"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"several"	"wood"
"2473"	"nosebaffle"	"convex"	"fibrous"	"brown"	"yes"	"none"	"free"	"close"	"broad"	"white"	"tapering"	"bulbous"	"smooth"	"gray"	"white"	"one"	"pendant"	"black"	"several"	"wood"
"2474"	"graystalk"	"convex"	"smooth"	"gray"	"yes"	"none"	"free"	"close"	"broad"	"white"	"tapering"	"bulbous"	"smooth"	"green"	"white"	"one"	"pendant"	"brown"	"several"	"wood"
"2475"	"solitarius"	"convex"	"smooth"	"gray"	"yes"	"none"	"free"	"close"	"broad"	"pink"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"solitary"	"wood"
"2476"	"graystalk"	"convex"	"smooth"	"red"	"yes"	"none"	"free"	"close"	"broad"	"brown"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"several"	"wood"
"2477"	"nosebaffle"	"convex"	"smooth"	"brown"	"yes"	"none"	"free"	"close"	"broad"	"white"	"tapering"	"bulbous"	"smooth"	"green"	"white"	"one"	"pendant"	"black"	"several"	"wood"
"2478"	"graystalk"	"convex"	"smooth"	"gray"	"yes"	"none"	"free"	"close"	"broad"	"purple"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"solitary"	"wood"
"2479"	"pungentia"	"flat"	"smooth"	"brown"	"yes"	"pungent"	"free"	"close"	"narrow"	"black"	"enlarging"	"equal"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"scattered"	"urban"
"2480"	"slimpipe"	"convex"	"scaly"	"gray"	"no"	"none"	"free"	"crowded"	"broad"	"brown"	"tapering"	"equal"	"fibrous"	"purple"	"white"	"one"	"evanescent"	"brown"	"scattered"	"grasses"
"2481"	"solitarius"	"convex"	"fibrous"	"gray"	"yes"	"none"	"free"	"close"	"broad"	"purple"	"tapering"	"bulbous"	"smooth"	"gray"	"white"	"one"	"pendant"	"black"	"several"	"wood"
"2482"	"nosebaffle"	"convex"	"fibrous"	"red"	"yes"	"none"	"free"	"close"	"broad"	"brown"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"solitary"	"wood"
"2483"	"convexcap"	"convex"	"scaly"	"pink"	"no"	"creosote"	"free"	"crowded"	"narrow"	"purple"	"enlarging"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"scattered"	"wood"
"2484"	"nosebaffle"	"convex"	"smooth"	"brown"	"yes"	"none"	"free"	"close"	"broad"	"white"	"tapering"	"bulbous"	"smooth"	"green"	"white"	"one"	"pendant"	"black"	"solitary"	"wood"
"2485"	"nosebaffle"	"convex"	"fibrous"	"red"	"yes"	"none"	"free"	"close"	"broad"	"pink"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"several"	"wood"
"2486"	"solitarius"	"convex"	"smooth"	"brown"	"yes"	"none"	"free"	"close"	"broad"	"pink"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"solitary"	"wood"
"2487"	"nosebaffle"	"convex"	"smooth"	"red"	"yes"	"none"	"free"	"close"	"broad"	"purple"	"tapering"	"bulbous"	"smooth"	"green"	"white"	"one"	"pendant"	"black"	"several"	"wood"
"2488"	"slimpipe"	"convex"	"scaly"	"white"	"no"	"none"	"free"	"crowded"	"broad"	"black"	"tapering"	"equal"	"smooth"	"purple"	"white"	"one"	"evanescent"	"brown"	"scattered"	"grasses"
"2489"	"solitarius"	"flat"	"fibrous"	"gray"	"yes"	"none"	"free"	"close"	"broad"	"pink"	"tapering"	"bulbous"	"smooth"	"gray"	"white"	"one"	"pendant"	"brown"	"several"	"wood"
"2490"	"solitarius"	"convex"	"smooth"	"gray"	"yes"	"none"	"free"	"close"	"broad"	"brown"	"tapering"	"bulbous"	"smooth"	"gray"	"white"	"one"	"pendant"	"brown"	"several"	"wood"
"2491"	"nosebaffle"	"convex"	"smooth"	"gray"	"yes"	"none"	"free"	"close"	"broad"	"brown"	"tapering"	"bulbous"	"smooth"	"green"	"white"	"one"	"pendant"	"brown"	"several"	"wood"
"2492"	"solitarius"	"convex"	"fibrous"	"red"	"yes"	"none"	"free"	"close"	"broad"	"brown"	"tapering"	"bulbous"	"smooth"	"gray"	"white"	"one"	"pendant"	"brown"	"solitary"	"wood"
"2493"	"nosebaffle"	"convex"	"smooth"	"gray"	"yes"	"none"	"free"	"close"	"broad"	"brown"	"tapering"	"bulbous"	"smooth"	"green"	"white"	"one"	"pendant"	"black"	"several"	"wood"
"2494"	"graystalk"	"convex"	"smooth"	"gray"	"yes"	"none"	"free"	"close"	"broad"	"white"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"several"	"wood"
"2495"	"solitarius"	"convex"	"fibrous"	"red"	"yes"	"none"	"free"	"close"	"broad"	"pink"	"tapering"	"bulbous"	"smooth"	"gray"	"white"	"one"	"pendant"	"black"	"solitary"	"wood"
"2496"	"pungentia"	"flat"	"smooth"	"white"	"yes"	"pungent"	"free"	"close"	"narrow"	"pink"	"enlarging"	"equal"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"several"	"urban"
"2497"	"solitarius"	"flat"	"fibrous"	"brown"	"yes"	"none"	"free"	"close"	"broad"	"purple"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"solitary"	"wood"
"2498"	"nosebaffle"	"convex"	"fibrous"	"red"	"yes"	"none"	"free"	"close"	"broad"	"white"	"tapering"	"bulbous"	"smooth"	"gray"	"white"	"one"	"pendant"	"black"	"solitary"	"wood"
"2499"	"nosebaffle"	"convex"	"fibrous"	"red"	"yes"	"none"	"free"	"close"	"broad"	"brown"	"tapering"	"bulbous"	"smooth"	"green"	"white"	"one"	"pendant"	"brown"	"several"	"wood"
"2500"	"graystalk"	"convex"	"smooth"	"gray"	"yes"	"none"	"free"	"close"	"broad"	"pink"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"several"	"wood"
"2501"	"slimpipe"	"flat"	"scaly"	"white"	"no"	"none"	"free"	"crowded"	"broad"	"chocolate"	"tapering"	"equal"	"fibrous"	"purple"	"white"	"one"	"evanescent"	"black"	"scattered"	"grasses"
"2502"	"slimpipe"	"convex"	"fibrous"	"brown"	"no"	"none"	"free"	"crowded"	"broad"	"black"	"tapering"	"equal"	"fibrous"	"purple"	"white"	"one"	"evanescent"	"brown"	"abundant"	"grasses"
"2503"	"nosebaffle"	"convex"	"fibrous"	"brown"	"yes"	"none"	"free"	"close"	"broad"	"white"	"tapering"	"bulbous"	"smooth"	"green"	"white"	"one"	"pendant"	"black"	"several"	"wood"
"2504"	"nosebaffle"	"flat"	"fibrous"	"brown"	"yes"	"none"	"free"	"close"	"broad"	"brown"	"tapering"	"bulbous"	"smooth"	"green"	"white"	"one"	"pendant"	"brown"	"several"	"wood"
"2505"	"graystalk"	"convex"	"smooth"	"red"	"yes"	"none"	"free"	"close"	"broad"	"pink"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"solitary"	"wood"
"2506"	"solitarius"	"convex"	"smooth"	"red"	"yes"	"none"	"free"	"close"	"broad"	"purple"	"tapering"	"bulbous"	"smooth"	"green"	"white"	"one"	"pendant"	"brown"	"solitary"	"wood"
"2507"	"nosebaffle"	"convex"	"smooth"	"red"	"yes"	"none"	"free"	"close"	"broad"	"pink"	"tapering"	"bulbous"	"smooth"	"green"	"white"	"one"	"pendant"	"brown"	"solitary"	"wood"
"2508"	"solitarius"	"flat"	"fibrous"	"brown"	"yes"	"none"	"free"	"close"	"broad"	"white"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"solitary"	"wood"
"2509"	"nosebaffle"	"convex"	"fibrous"	"gray"	"yes"	"none"	"free"	"close"	"broad"	"white"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"several"	"wood"
"2510"	"graystalk"	"flat"	"fibrous"	"brown"	"yes"	"none"	"free"	"close"	"broad"	"white"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"several"	"wood"
"2511"	"solitarius"	"flat"	"fibrous"	"red"	"yes"	"none"	"free"	"close"	"broad"	"brown"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"solitary"	"wood"
"2512"	"graystalk"	"convex"	"smooth"	"red"	"yes"	"none"	"free"	"close"	"broad"	"white"	"tapering"	"bulbous"	"smooth"	"green"	"white"	"one"	"pendant"	"brown"	"several"	"wood"
"2513"	"convexcap"	"convex"	"scaly"	"white"	"no"	"creosote"	"free"	"crowded"	"narrow"	"pink"	"enlarging"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"scattered"	"wood"
"2514"	"solitarius"	"flat"	"fibrous"	"brown"	"yes"	"none"	"free"	"close"	"broad"	"purple"	"tapering"	"bulbous"	"smooth"	"green"	"white"	"one"	"pendant"	"black"	"solitary"	"wood"
"2515"	"solitarius"	"flat"	"fibrous"	"gray"	"yes"	"none"	"free"	"close"	"broad"	"pink"	"tapering"	"bulbous"	"smooth"	"green"	"white"	"one"	"pendant"	"brown"	"solitary"	"wood"
"2516"	"nosebaffle"	"flat"	"fibrous"	"brown"	"yes"	"none"	"free"	"close"	"broad"	"purple"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"several"	"wood"
"2517"	"nosebaffle"	"convex"	"smooth"	"brown"	"yes"	"none"	"free"	"close"	"broad"	"pink"	"tapering"	"bulbous"	"smooth"	"green"	"white"	"one"	"pendant"	"black"	"several"	"wood"
"2518"	"solitarius"	"convex"	"fibrous"	"red"	"yes"	"none"	"free"	"close"	"broad"	"white"	"tapering"	"bulbous"	"smooth"	"gray"	"white"	"one"	"pendant"	"black"	"solitary"	"wood"
"2519"	"slimpipe"	"flat"	"scaly"	"white"	"no"	"none"	"free"	"crowded"	"broad"	"brown"	"tapering"	"equal"	"fibrous"	"purple"	"white"	"one"	"evanescent"	"brown"	"scattered"	"grasses"
"2520"	"solitarius"	"convex"	"smooth"	"gray"	"yes"	"none"	"free"	"close"	"broad"	"purple"	"tapering"	"bulbous"	"smooth"	"green"	"white"	"one"	"pendant"	"brown"	"solitary"	"wood"
"2521"	"nosebaffle"	"convex"	"fibrous"	"red"	"yes"	"none"	"free"	"close"	"broad"	"pink"	"tapering"	"bulbous"	"smooth"	"green"	"white"	"one"	"pendant"	"black"	"several"	"wood"
"2522"	"graystalk"	"flat"	"fibrous"	"brown"	"yes"	"none"	"free"	"close"	"broad"	"brown"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"several"	"wood"
"2523"	"nosebaffle"	"flat"	"fibrous"	"brown"	"yes"	"none"	"free"	"close"	"broad"	"pink"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"several"	"wood"
"2524"	"nosebaffle"	"convex"	"smooth"	"brown"	"yes"	"none"	"free"	"close"	"broad"	"brown"	"tapering"	"bulbous"	"smooth"	"gray"	"white"	"one"	"pendant"	"black"	"solitary"	"wood"
"2525"	"solitarius"	"convex"	"smooth"	"gray"	"yes"	"none"	"free"	"close"	"broad"	"brown"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"solitary"	"wood"
"2526"	"nosebaffle"	"convex"	"smooth"	"brown"	"yes"	"none"	"free"	"close"	"broad"	"brown"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"several"	"wood"
"2527"	"solitarius"	"convex"	"fibrous"	"gray"	"yes"	"none"	"free"	"close"	"broad"	"purple"	"tapering"	"bulbous"	"smooth"	"green"	"white"	"one"	"pendant"	"brown"	"solitary"	"wood"
"2528"	"nosebaffle"	"convex"	"smooth"	"brown"	"yes"	"none"	"free"	"close"	"broad"	"white"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"solitary"	"wood"
"2529"	"nosebaffle"	"convex"	"smooth"	"brown"	"yes"	"none"	"free"	"close"	"broad"	"pink"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"several"	"wood"
"2530"	"nosebaffle"	"flat"	"fibrous"	"brown"	"yes"	"none"	"free"	"close"	"broad"	"pink"	"tapering"	"bulbous"	"smooth"	"green"	"white"	"one"	"pendant"	"brown"	"solitary"	"wood"
"2531"	"graystalk"	"convex"	"smooth"	"gray"	"yes"	"none"	"free"	"close"	"broad"	"brown"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"several"	"wood"
"2532"	"nosebaffle"	"convex"	"smooth"	"red"	"yes"	"none"	"free"	"close"	"broad"	"white"	"tapering"	"bulbous"	"smooth"	"green"	"white"	"one"	"pendant"	"black"	"solitary"	"wood"
"2533"	"nosebaffle"	"convex"	"smooth"	"brown"	"yes"	"none"	"free"	"close"	"broad"	"brown"	"tapering"	"bulbous"	"smooth"	"green"	"white"	"one"	"pendant"	"black"	"solitary"	"wood"
"2534"	"sadagus"	"convex"	"fibrous"	"gray"	"no"	"foul"	"free"	"close"	"broad"	"gray"	"enlarging"	"bulbous"	"silky"	"brown"	"white"	"one"	"large"	"chocolate"	"solitary"	"paths"
"2535"	"nosebaffle"	"flat"	"fibrous"	"gray"	"yes"	"none"	"free"	"close"	"broad"	"purple"	"tapering"	"bulbous"	"smooth"	"green"	"white"	"one"	"pendant"	"black"	"several"	"wood"
"2536"	"nosebaffle"	"convex"	"smooth"	"red"	"yes"	"none"	"free"	"close"	"broad"	"purple"	"tapering"	"bulbous"	"smooth"	"gray"	"white"	"one"	"pendant"	"black"	"several"	"wood"
"2537"	"sadagus"	"convex"	"fibrous"	"gray"	"no"	"foul"	"free"	"close"	"broad"	"chocolate"	"enlarging"	"bulbous"	"silky"	"green"	"white"	"one"	"large"	"chocolate"	"several"	"wood"
"2538"	"nosebaffle"	"convex"	"smooth"	"red"	"yes"	"none"	"free"	"close"	"broad"	"brown"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"several"	"wood"
"2539"	"nosebaffle"	"convex"	"fibrous"	"red"	"yes"	"none"	"free"	"close"	"broad"	"brown"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"several"	"wood"
"2540"	"sadagus"	"convex"	"fibrous"	"gray"	"no"	"foul"	"free"	"close"	"broad"	"chocolate"	"enlarging"	"bulbous"	"silky"	"buff"	"white"	"one"	"large"	"chocolate"	"solitary"	"wood"
"2541"	"convexcap"	"convex"	"fibrous"	"pink"	"no"	"creosote"	"free"	"crowded"	"narrow"	"brown"	"enlarging"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"scattered"	"wood"
"2542"	"nosebaffle"	"convex"	"fibrous"	"gray"	"yes"	"none"	"free"	"close"	"broad"	"purple"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"several"	"wood"
"2543"	"graystalk"	"flat"	"fibrous"	"gray"	"yes"	"none"	"free"	"close"	"broad"	"pink"	"tapering"	"bulbous"	"smooth"	"green"	"white"	"one"	"pendant"	"brown"	"solitary"	"wood"
"2544"	"solitarius"	"convex"	"fibrous"	"gray"	"yes"	"none"	"free"	"close"	"broad"	"purple"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"several"	"wood"
"2545"	"graystalk"	"convex"	"smooth"	"gray"	"yes"	"none"	"free"	"close"	"broad"	"white"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"solitary"	"wood"
"2546"	"graystalk"	"convex"	"smooth"	"gray"	"yes"	"none"	"free"	"close"	"broad"	"brown"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"several"	"wood"
"2547"	"solitarius"	"flat"	"fibrous"	"gray"	"yes"	"none"	"free"	"close"	"broad"	"brown"	"tapering"	"bulbous"	"smooth"	"gray"	"white"	"one"	"pendant"	"brown"	"solitary"	"wood"
"2548"	"solitarius"	"convex"	"fibrous"	"gray"	"yes"	"none"	"free"	"close"	"broad"	"white"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"solitary"	"wood"
"2549"	"nosebaffle"	"convex"	"fibrous"	"red"	"yes"	"none"	"free"	"close"	"broad"	"pink"	"tapering"	"bulbous"	"smooth"	"gray"	"white"	"one"	"pendant"	"black"	"several"	"wood"
"2550"	"nosebaffle"	"convex"	"fibrous"	"brown"	"yes"	"none"	"free"	"close"	"broad"	"white"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"solitary"	"wood"
"2551"	"nosebaffle"	"convex"	"smooth"	"brown"	"yes"	"none"	"free"	"close"	"broad"	"purple"	"tapering"	"bulbous"	"smooth"	"green"	"white"	"one"	"pendant"	"black"	"several"	"wood"
"2552"	"nosebaffle"	"flat"	"fibrous"	"brown"	"yes"	"none"	"free"	"close"	"broad"	"pink"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"solitary"	"wood"
"2553"	"nosebaffle"	"flat"	"fibrous"	"brown"	"yes"	"none"	"free"	"close"	"broad"	"purple"	"tapering"	"bulbous"	"smooth"	"green"	"white"	"one"	"pendant"	"brown"	"several"	"wood"
"2554"	"nosebaffle"	"flat"	"fibrous"	"gray"	"yes"	"none"	"free"	"close"	"broad"	"brown"	"tapering"	"bulbous"	"smooth"	"green"	"white"	"one"	"pendant"	"black"	"solitary"	"wood"
"2555"	"nosebaffle"	"convex"	"fibrous"	"gray"	"yes"	"none"	"free"	"close"	"broad"	"pink"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"solitary"	"wood"
"2556"	"solitarius"	"convex"	"smooth"	"brown"	"yes"	"none"	"free"	"close"	"broad"	"purple"	"tapering"	"bulbous"	"smooth"	"green"	"white"	"one"	"pendant"	"brown"	"several"	"wood"
"2557"	"graystalk"	"convex"	"smooth"	"red"	"yes"	"none"	"free"	"close"	"broad"	"white"	"tapering"	"bulbous"	"smooth"	"green"	"white"	"one"	"pendant"	"brown"	"several"	"wood"
"2558"	"nosebaffle"	"flat"	"fibrous"	"brown"	"yes"	"none"	"free"	"close"	"broad"	"purple"	"tapering"	"bulbous"	"smooth"	"green"	"white"	"one"	"pendant"	"brown"	"several"	"wood"
"2559"	"nosebaffle"	"convex"	"smooth"	"gray"	"yes"	"none"	"free"	"close"	"broad"	"brown"	"tapering"	"bulbous"	"smooth"	"green"	"white"	"one"	"pendant"	"brown"	"several"	"wood"
"2560"	"nosebaffle"	"convex"	"smooth"	"brown"	"yes"	"none"	"free"	"close"	"broad"	"purple"	"tapering"	"bulbous"	"smooth"	"green"	"white"	"one"	"pendant"	"black"	"solitary"	"wood"
"2561"	"convexcap"	"convex"	"fibrous"	"white"	"no"	"creosote"	"free"	"close"	"narrow"	"gray"	"enlarging"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"several"	"wood"
"2562"	"solitarius"	"flat"	"fibrous"	"brown"	"yes"	"none"	"free"	"close"	"broad"	"purple"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"solitary"	"wood"
"2563"	"nosebaffle"	"convex"	"smooth"	"red"	"yes"	"none"	"free"	"close"	"broad"	"white"	"tapering"	"bulbous"	"smooth"	"green"	"white"	"one"	"pendant"	"brown"	"several"	"wood"
"2564"	"solitarius"	"convex"	"smooth"	"brown"	"yes"	"none"	"free"	"close"	"broad"	"brown"	"tapering"	"bulbous"	"smooth"	"gray"	"white"	"one"	"pendant"	"brown"	"solitary"	"wood"
"2565"	"nosebaffle"	"flat"	"fibrous"	"gray"	"yes"	"none"	"free"	"close"	"broad"	"brown"	"tapering"	"bulbous"	"smooth"	"green"	"white"	"one"	"pendant"	"black"	"several"	"wood"
"2566"	"solitarius"	"convex"	"fibrous"	"red"	"yes"	"none"	"free"	"close"	"broad"	"white"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"solitary"	"wood"
"2567"	"sadagus"	"convex"	"fibrous"	"gray"	"no"	"foul"	"free"	"close"	"broad"	"pink"	"enlarging"	"bulbous"	"silky"	"buff"	"white"	"one"	"large"	"chocolate"	"solitary"	"wood"
"2568"	"nosebaffle"	"convex"	"smooth"	"red"	"yes"	"none"	"free"	"close"	"broad"	"brown"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"solitary"	"wood"
"2569"	"graystalk"	"flat"	"fibrous"	"gray"	"yes"	"none"	"free"	"close"	"broad"	"pink"	"tapering"	"bulbous"	"smooth"	"gray"	"white"	"one"	"pendant"	"brown"	"several"	"wood"
"2570"	"graystalk"	"flat"	"smooth"	"red"	"yes"	"none"	"free"	"close"	"broad"	"white"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"several"	"wood"
"2571"	"nosebaffle"	"convex"	"fibrous"	"red"	"yes"	"none"	"free"	"close"	"broad"	"pink"	"tapering"	"bulbous"	"smooth"	"green"	"white"	"one"	"pendant"	"brown"	"several"	"wood"
"2572"	"sadagus"	"convex"	"fibrous"	"gray"	"no"	"foul"	"free"	"close"	"broad"	"pink"	"enlarging"	"bulbous"	"silky"	"buff"	"white"	"one"	"large"	"chocolate"	"several"	"grasses"
"2573"	"graystalk"	"convex"	"smooth"	"brown"	"yes"	"none"	"free"	"close"	"broad"	"white"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"solitary"	"wood"
